tilt,vibration,temperature,humidity,risk
18.0,55,38.6,81.7,HIGH
2.09,13,23.2,45.2,LOW
1.54,15,23.3,49.0,LOW
4.13,33,38.5,82.5,MEDIUM
13.85,66,31.5,73.9,HIGH
6.34,77,38.4,79.2,HIGH
4.57,7,30.4,58.2,LOW
4.12,42,27.5,56.7,MEDIUM
1.06,9,23.3,57.7,LOW
14.97,58,35.8,91.4,HIGH
5.26,42,39.0,84.7,MEDIUM
2.84,16,29.0,58.0,LOW
2.49,7,29.3,49.8,LOW
4.28,40,28.7,61.6,MEDIUM
2.39,20,29.0,57.4,LOW
2.38,11,22.4,59.1,LOW
14.16,53,38.4,72.9,HIGH
13.82,125,36.1,91.7,HIGH
3.43,21,28.3,61.7,LOW
2.4,8,21.7,48.0,LOW
1.31,10,20.5,57.5,LOW
1.35,4,23.8,37.6,LOW
7.34,30,31.3,70.2,MEDIUM
4.2,12,25.5,42.7,LOW
3.97,13,31.5,46.5,LOW
0.85,0,28.1,48.0,LOW
3.41,13,26.8,62.6,LOW
4.63,16,28.2,58.9,MEDIUM
2.5,11,29.3,47.7,LOW
1.92,17,29.9,42.5,LOW
7.42,34,34.5,75.5,MEDIUM
3.81,15,30.0,40.8,LOW
6.22,22,26.1,50.6,MEDIUM
2.48,1,24.0,57.1,LOW
5.38,48,31.1,59.1,MEDIUM
4.38,42,27.1,74.1,MEDIUM
3.12,53,31.2,47.1,MEDIUM
3.82,33,36.0,73.3,MEDIUM
11.72,92,32.9,83.1,HIGH
6.29,34,35.8,77.8,MEDIUM
4.63,53,31.2,66.0,MEDIUM
13.53,82,29.2,71.3,HIGH
2.16,10,30.8,43.0,LOW
6.99,20,33.8,73.6,MEDIUM
3.32,35,36.3,82.8,MEDIUM
13.17,76,36.4,78.2,HIGH
3.71,15,31.0,64.6,LOW
1.01,6,26.3,57.4,LOW
6.05,34,32.8,81.2,MEDIUM
6.23,32,35.5,75.9,MEDIUM
3.06,38,35.0,74.6,MEDIUM
10.03,111,39.5,72.3,HIGH
3.8,1,23.7,40.7,LOW
2.76,13,20.7,35.9,LOW
8.37,89,29.4,70.7,HIGH
2.45,11,31.6,42.0,LOW
2.6,9,29.4,39.9,LOW
3.7,11,27.6,49.9,LOW
2.41,20,31.1,50.7,LOW
7.09,47,31.9,53.1,MEDIUM
2.2,2,30.5,50.5,LOW
15.48,81,36.3,77.3,HIGH
12.22,80,31.9,86.6,HIGH
5.33,57,25.6,55.1,MEDIUM
19.17,93,41.2,81.7,HIGH
18.81,101,30.1,83.3,HIGH
2.62,6,25.2,57.0,LOW
15.12,110,40.0,82.4,HIGH
4.05,11,24.5,52.3,LOW
1.26,6,31.0,61.7,LOW
15.95,85,32.3,81.4,HIGH
1.1,1,24.5,46.9,LOW
7.04,15,33.6,53.9,MEDIUM
2.36,30,22.6,60.2,LOW
3.35,29,33.0,78.4,MEDIUM
1.95,9,23.5,62.2,LOW
8.03,31,29.1,62.4,MEDIUM
7.15,33,32.7,68.0,MEDIUM
3.06,12,22.0,60.6,LOW
6.11,49,35.6,69.8,MEDIUM
2.38,23,21.2,46.0,LOW
5.96,40,30.8,57.1,MEDIUM
1.3,17,24.1,40.1,LOW
1.33,13,20.1,64.1,LOW
3.6,20,36.4,84.3,MEDIUM
5.72,66,31.0,45.6,MEDIUM
5.94,39,25.6,70.1,MEDIUM
0.62,16,22.7,49.3,LOW
13.77,118,43.7,80.9,HIGH
5.9,35,31.4,56.8,MEDIUM
15.87,94,33.9,72.9,HIGH
4.23,20,32.5,75.3,MEDIUM
6.84,35,29.5,73.3,MEDIUM
1.13,7,23.2,59.1,LOW
1.62,20,30.6,46.4,LOW
11.58,92,35.8,88.8,HIGH
5.07,40,36.9,73.9,MEDIUM
2.39,8,23.9,48.5,LOW
3.33,11,25.6,37.9,LOW
24.18,142,40.7,75.1,HIGH
2.01,11,21.2,50.5,LOW
1.51,1,20.1,39.7,LOW
0.38,0,30.5,59.4,LOW
8.21,41,29.4,74.2,MEDIUM
7.24,43,29.1,73.2,MEDIUM
19.7,95,36.1,75.2,HIGH
5.11,17,33.3,61.7,MEDIUM
1.15,23,22.9,33.3,LOW
3.22,47,27.5,53.0,MEDIUM
2.89,6,30.1,39.1,LOW
2.61,13,30.0,47.2,LOW
19.85,79,40.2,86.0,HIGH
4.3,27,27.3,61.8,MEDIUM
6.55,32,32.8,65.8,MEDIUM
3.49,19,25.0,59.4,LOW
7.33,45,32.3,73.2,MEDIUM
2.83,17,29.3,52.9,LOW
18.72,107,31.9,79.1,HIGH
5.79,39,26.4,71.7,MEDIUM
0.95,6,22.5,35.2,LOW
2.37,10,30.2,47.3,LOW
3.13,10,26.4,43.5,LOW
3.17,43,37.4,82.6,MEDIUM
1.01,9,21.7,54.6,LOW
2.4,17,20.7,40.7,LOW
3.03,3,25.1,51.1,LOW
6.82,42,30.5,71.8,MEDIUM
1.44,3,29.6,35.0,LOW
2.86,57,27.6,52.8,MEDIUM
19.46,108,39.9,76.4,HIGH
7.77,93,30.9,73.0,HIGH
11.35,74,33.1,74.7,HIGH
0.9,14,26.0,47.9,LOW
3.84,70,25.7,69.4,MEDIUM
1.23,0,18.8,60.3,LOW
6.16,35,29.2,66.9,MEDIUM
3.49,19,30.7,38.3,LOW
5.91,68,28.9,47.8,MEDIUM
4.74,38,32.6,78.8,MEDIUM
3.37,15,30.2,54.3,LOW
7.2,119,28.3,82.2,HIGH
6.45,33,32.9,68.7,MEDIUM
5.9,44,31.6,69.0,MEDIUM
5.03,50,29.4,62.4,MEDIUM
3.88,11,25.0,36.4,LOW
5.65,24,33.4,78.5,MEDIUM
4.17,26,36.2,71.1,MEDIUM
2.54,1,25.0,42.7,LOW
3.29,17,28.7,47.8,LOW
2.43,21,22.2,53.0,LOW
5.21,49,31.7,52.6,MEDIUM
0.9,13,28.2,48.6,LOW
1.2,19,20.6,38.7,LOW
3.47,14,29.0,51.5,LOW
2.96,22,25.6,36.7,LOW
0.91,16,25.9,41.4,LOW
7.09,52,31.0,71.5,MEDIUM
23.9,147,39.7,79.2,HIGH
8.89,101,33.1,76.1,HIGH
2.79,9,29.4,41.0,LOW
3.24,44,24.8,66.9,MEDIUM
8.59,100,35.4,79.6,HIGH
7.75,35,31.0,60.4,MEDIUM
5.91,37,29.3,77.0,MEDIUM
4.6,40,31.0,71.8,MEDIUM
10.27,118,40.2,82.7,HIGH
2.7,18,21.3,40.5,LOW
11.75,134,39.0,90.6,HIGH
2.41,6,26.0,60.7,LOW
4.16,31,33.6,77.6,MEDIUM
4.54,21,32.4,76.6,MEDIUM
11.81,112,30.6,73.0,HIGH
4.96,22,38.8,80.9,MEDIUM
2.58,2,26.6,60.1,LOW
18.06,78,33.8,83.8,HIGH
3.31,23,26.9,61.6,LOW
2.98,6,22.7,45.1,LOW
2.91,20,21.1,48.4,LOW
5.07,46,27.6,51.5,MEDIUM
2.5,2,30.3,48.0,LOW
2.24,18,30.7,65.8,LOW
19.02,81,33.4,73.8,HIGH
3.07,0,25.6,44.9,LOW
2.52,17,26.3,51.5,LOW
5.36,52,32.0,77.7,MEDIUM
2.36,17,24.2,60.8,LOW
12.36,50,34.8,83.3,HIGH
15.8,83,32.0,82.3,HIGH
1.7,15,29.8,59.2,LOW
3.47,25,37.8,75.2,MEDIUM
4.25,20,27.7,46.6,LOW
6.64,36,32.9,77.2,MEDIUM
1.01,17,19.7,41.1,LOW
3.82,9,30.0,43.8,LOW
0.92,14,24.1,37.2,LOW
1.92,13,24.2,59.8,LOW
4.97,43,29.0,74.1,MEDIUM
0.62,0,21.3,40.2,LOW
4.68,21,38.1,79.0,MEDIUM
13.48,103,40.3,83.9,HIGH
5.62,38,25.5,52.5,MEDIUM
4.68,63,30.7,55.2,MEDIUM
11.95,99,44.9,79.2,HIGH
0.57,13,30.7,42.3,LOW
3.62,21,30.2,58.6,LOW
10.58,139,44.5,84.0,HIGH
3.51,5,31.9,51.5,LOW
0.9,13,20.8,61.9,LOW
23.39,111,43.1,84.2,HIGH
1.84,9,25.8,52.4,LOW
22.91,103,39.9,88.8,HIGH
5.14,44,33.8,70.8,MEDIUM
11.31,90,31.5,63.1,HIGH
8.85,143,28.8,71.1,HIGH
2.22,5,24.0,37.8,LOW
7.11,46,30.7,69.0,MEDIUM
3.49,5,27.6,61.3,LOW
2.68,7,25.7,57.4,LOW
24.04,106,41.2,94.3,HIGH
4.14,70,30.8,59.9,MEDIUM
0.91,13,22.5,51.3,LOW
6.89,45,35.4,76.2,MEDIUM
3.93,51,25.5,66.0,MEDIUM
7.26,32,25.2,67.6,MEDIUM
4.14,48,32.1,51.0,MEDIUM
21.86,97,41.3,76.9,HIGH
3.9,59,29.1,52.5,MEDIUM
4.62,54,29.7,73.6,MEDIUM
2.72,11,24.0,63.5,LOW
6.4,36,29.9,68.5,MEDIUM
6.29,40,29.5,66.7,MEDIUM
10.75,65,36.1,88.5,HIGH
8.94,27,33.1,55.3,MEDIUM
6.04,29,32.7,83.7,MEDIUM
14.31,95,39.5,82.1,HIGH
6.14,33,38.4,72.5,MEDIUM
2.44,25,33.4,32.8,LOW
6.27,41,38.0,76.5,MEDIUM
2.34,54,25.6,57.0,MEDIUM
